d,A* h1,d,A* random heuristic,,d,A* h2,,,,,,,,
10,87,10,94,,12,82,,,,,,,,
10,76,10,143,,10,36,,,,,,,,
10,79,10,81,,10,40,,,,,,,,
10,68,10,66,,10,62,,,,,,,,
10,82,10,76,,10,44,,,,,,,,
10,76,10,134,,10,42,,,,,,,,
10,57,10,130,,10,46,,,,,,,,
10,50,10,145,,10,26,,,,,,,,
10,57,10,84,,10,54,,,,,,,,
10,82,10,84,,10,42,,,,,,,,
10,75,10,88,,10,37,,,,,,,,
10,70,10,77,,10,37,,,,,,,,
10,69,10,180,,10,43,,,,,,,,
10,68,10,66,,10,62,,,,,,,,
10,93,10,250,,10,87,,,,,,,,
10,67,10,139,,10,51,,,,,,,,
10,53,10,64,,10,21,,,,,,,,
10,67,10,79,,10,33,,,,,,,,
10,54,10,117,,10,41,,,,,,,,
10,86,10,243,,10,78,,,,,,,,
10,55,10,77,,10,34,,,,,,,,
10,77,10,103,,10,55,,,,,,,,
10,75,10,144,,10,33,,,,,,,,
10,80,10,66,,10,42,,,,,,,,
10,53,10,64,,10,21,,,,,,,,
10,54,10,63,,10,31,,,,,,,,
10,83,10,103,,10,74,,,,,,,,
10,54,10,63,,10,31,,,,,,,,
10,90,10,112,,10,33,,,,,,,,
10,75,10,144,,10,33,,,,,,,,
10,66,10,79,,10,32,,,,,,,,
10,85,10,276,,10,80,,,,,,,,
10,67,10,139,,10,51,,,,,,,,
10,67,10,139,,10,51,,,,,,,,
10,55,10,77,,10,34,,,,,,,,
10,86,10,246,,10,40,,,,,,,,
10,58,10,100,,10,27,,,,,,,,
10,28,10,61,,10,20,,,,,,,,
10,28,10,117,,10,22,,,,,,,,
10,81,12,273,,10,56,,,,,,,,
10,88,10,109,,10,33,,,,,,,,
10,73,10,89,,10,26,,,,,,,,
10,50,10,75,,10,31,,,,,,,,
10,70,10,102,,10,61,,,,,,,,
10,75,10,118,,10,56,,,,,,,,
10,84,10,82,,10,38,,,,,,,,
10,28,10,117,,10,22,,,,,,,,
10,99,10,99,,10,33,,,,,,,,
10,57,10,130,,10,46,,,,,,,,
10,28,10,117,,10,22,,,,,,,,
10,67,10,139,,10,51,,,,,,,,
10,81,10,75,,10,40,,,,,,,,
10,85,10,84,,10,79,,,,,,,,
10,67,10,103,,10,37,,,,,,,,
10,114,10,110,,10,58,,,,,,,,
10,103,10,185,,10,48,,,,,,,,
10,84,10,86,,10,59,,,,,,,,
10,85,10,99,,10,38,,,,,,,,
10,77,10,103,,10,55,,,,,,,,
10,60,10,157,,10,39,,,,,,,,
10,80,10,162,,10,66,,,,,,,,
10,66,10,101,,10,22,,,,,,,,
10,60,10,229,,10,57,,,,,,,,
10,55,10,133,,10,28,,,,,,,,
10,53,10,153,,10,22,,,,,,,,
10,62,10,94,,10,33,,,,,,,,
10,86,10,246,,10,40,,,,,,,,
10,75,10,168,,10,40,,,,,,,,
10,67,10,139,,10,51,,,,,,,,
10,50,10,92,,10,26,,,,,,,,
10,60,10,91,,10,39,,,,,,,,
10,54,10,130,,10,40,,,,,,,,
10,62,10,134,,10,41,,,,,,,,
10,50,10,92,,10,26,,,,,,,,
10,60,10,229,,10,57,,,,,,,,
10,67,10,139,,10,51,,,,,,,,
10,70,10,145,,10,46,,,,,,,,
10,69,10,82,,10,37,,,,,,,,
10,75,10,106,,10,32,,,,,,,,
10,97,10,209,,10,74,,,,,,,,
10,88,10,109,,10,33,,,,,,,,
10,84,12,198,,10,66,,,,,,,,
10,28,10,117,,10,22,,,,,,,,
10,60,10,170,,10,41,,,,,,,,
10,83,10,89,,10,37,,,,,,,,
12,157,12,197,,12,85,,,,,,,,
12,154,12,177,,12,84,,,,,,,,
12,170,12,140,,12,67,,,,,,,,
12,175,12,116,,12,64,,,,,,,,
12,206,12,73,,12,106,,,,,,,,
12,97,12,190,,12,44,,,,,,,,
12,161,12,199,,12,56,,,,,,,,
12,163,12,377,,12,53,,,,,,,,
12,178,12,185,,12,111,,,,,,,,
12,130,12,151,,12,69,,,,,,,,
12,129,12,394,,12,79,,,,,,,,
12,93,12,373,,12,40,,,,,,,,
12,147,12,73,,12,73,,,,,,,,
12,153,12,147,,12,44,,,,,,,,
12,121,12,222,,12,51,,,,,,,,
12,139,12,137,,12,66,,,,,,,,
12,170,12,140,,12,67,,,,,,,,
12,156,12,365,,12,81,,,,,,,,
12,174,12,222,,12,42,,,,,,,,
12,136,12,274,,12,65,,,,,,,,
12,195,12,386,,12,92,,,,,,,,
12,184,12,181,,12,67,,,,,,,,
12,112,12,95,,12,37,,,,,,,,
12,237,12,330,,12,139,,,,,,,,
12,172,12,202,,12,45,,,,,,,,
12,144,12,281,,12,49,,,,,,,,
12,143,12,175,,12,90,,,,,,,,
